"Region, subregion, country or area *",Country code,2010
Martinique,474,395.0
Montserrat,500,5.0
Puerto Rico,630,3717.0
Saint Kitts and Nevis,659,51.0
Saint Lucia,662,173.0
Saint Vincent and the Grenadines,670,109.0
Sint Maarten (Dutch part),534,33.0
Trinidad and Tobago,780,1328.0
Turks and Caicos Islands,796,31.0
United States Virgin Islands,850,106.0
Central America,916,160557.0
Belize,84,322.0
Costa Rica,188,4545.0
El Salvador,222,6165.0
Guatemala,320,14630.0
Honduras,340,8195.0
Mexico,484,117319.0
Nicaragua,558,5738.0
Panama,591,3643.0
South America,931,395280.0
Argentina,32,41224.0
Bolivia (Plurinational State of),68,9918.0
Brazil,76,196796.0
Chile,152,16993.0
Colombia,170,45918.0
Ecuador,218,14935.0
Falkland Islands (Malvinas),238,3.0
French Guiana,254,234.0
Guyana,328,747.0
Paraguay,600,6210.0
Peru,604,29374.0
Suriname,740,526.0
Uruguay,858,3374.0
Venezuela (Bolivarian Republic of),862,29028.0
NORTHERN AMERICA,905,342937.0
Bermuda,60,64.0
Canada,124,34169.0
Greenland,304,57.0
Saint Pierre and Miquelon,666,6.0
United States of America,840,308641.0
OCEANIA,909,36636.0
Australia/New Zealand,927,26490.0
Australia,36,22120.0
New Zealand,554,4370.0
Melanesia,928,8983.0
Fiji,242,860.0
New Caledonia,540,251.0
Papua New Guinea,598,7108.0
Solomon Islands,90,528.0
Vanuatu,548,236.0
Micronesia,954,503.0
Guam,316,159.0
Kiribati,296,103.0
Marshall Islands,584,52.0
Micronesia (Fed. States of),583,104.0
Nauru,520,10.0
Northern Mariana Islands,580,54.0
Palau,585,20.0
Polynesia,957,659.0
American Samoa,16,56.0
Cook Islands,184,19.0
French Polynesia,258,268.0
Niue,570,2.0
Samoa,882,186.0
Tokelau,772,1.0
Tonga,776,104.0
Tuvalu,798,11.0
Wallis and Futuna Islands,876,13.0
